date,Lt,Ht,settle,Lt1,Ht1
20140623.0,3261.0,3261.0,3261.0,3264.0,3264.0
20140624.0,3264.0,3264.0,3264.0,3223.0,3237.0
20140625.0,3223.0,3237.0,3235.0,3199.0,3221.0
20140626.0,3199.0,3221.0,3210.0,3200.0,3225.0
20140627.0,3200.0,3225.0,3206.0,3194.0,3204.0
20140630.0,3194.0,3204.0,3213.0,3221.0,3232.0
20140701.0,3221.0,3232.0,3234.0,3227.0,3240.0
20140702.0,3227.0,3240.0,3232.0,3227.0,3263.0
20140703.0,3227.0,3263.0,3268.0,3257.0,3257.0
20140704.0,3257.0,3257.0,3250.0,3217.0,3248.0
20140707.0,3217.0,3248.0,3212.0,3163.0,3207.0
20140708.0,3163.0,3207.0,3166.0,3168.0,3178.0
20140709.0,3168.0,3178.0,3185.0,3119.0,3163.0
20140710.0,3119.0,3163.0,3132.0,3141.0,3152.0
20140711.0,3141.0,3152.0,3132.0,3152.0,3163.0
20140714.0,3152.0,3163.0,3167.0,3137.0,3160.0
20140715.0,3137.0,3160.0,3140.0,3166.0,3185.0
20140716.0,3166.0,3185.0,3182.0,3128.0,3138.0
20140717.0,3128.0,3138.0,3136.0,3117.0,3138.0
20140718.0,3117.0,3138.0,3143.0,3122.0,3122.0
20140721.0,3122.0,3122.0,3123.0,3132.0,3172.0
20140722.0,3132.0,3172.0,3173.0,3181.0,3186.0
20140723.0,3181.0,3186.0,3175.0,3156.0,3202.0
20140724.0,3156.0,3202.0,3201.0,3162.0,3189.0
20140725.0,3162.0,3189.0,3154.0,3132.0,3170.0
20140728.0,3132.0,3170.0,3152.0,3170.0,3170.0
20140729.0,3170.0,3170.0,3170.0,3166.0,3190.0
20140730.0,3166.0,3190.0,3153.0,3087.0,3140.0
20140731.0,3087.0,3140.0,3100.0,3048.0,3102.0
20140801.0,3048.0,3102.0,3055.0,3053.0,3078.0
20140804.0,3053.0,3078.0,3055.0,3016.0,3073.0
20140805.0,3016.0,3073.0,3055.0,3011.0,3040.0
20140806.0,3011.0,3040.0,3030.0,2980.0,3042.0
20140807.0,2980.0,3042.0,2994.0,2962.0,3014.0
20140808.0,2962.0,3014.0,2988.0,3019.0,3023.0
20140811.0,3019.0,3023.0,3032.0,3011.0,3027.0
20140812.0,3011.0,3027.0,3007.0,3016.0,3035.0
20140813.0,3016.0,3035.0,3040.0,3020.0,3052.0
20140814.0,3020.0,3052.0,3041.0,2997.0,3077.0
20140815.0,2997.0,3077.0,3006.0,3044.0,3060.0
20140818.0,3044.0,3060.0,3058.0,3066.0,3075.0
20140819.0,3066.0,3075.0,3075.0,3046.0,3072.0
20140820.0,3046.0,3072.0,3064.0,3074.0,3104.0
20140821.0,3074.0,3104.0,3104.0,3073.0,3105.0
20140822.0,3073.0,3105.0,3082.0,3111.0,3143.0
20140825.0,3111.0,3143.0,3144.0,3138.0,3168.0
20140826.0,3138.0,3168.0,3179.0,3172.0,3181.0
20140827.0,3172.0,3181.0,3175.0,3137.0,3161.0
20140828.0,3137.0,3161.0,3143.0,3131.0,3164.0
20140829.0,3131.0,3164.0,3145.0,3145.0,3154.0
20140901.0,3145.0,3154.0,3153.0,3152.0,3174.0
20140902.0,3152.0,3174.0,3159.0,3165.0,3207.0
20140903.0,3165.0,3207.0,3196.0,3183.0,3258.0
20140904.0,3183.0,3258.0,3255.0,3239.0,3264.0
20140905.0,3239.0,3264.0,3256.0,3233.0,3259.0
20140908.0,3233.0,3259.0,3246.0,3224.0,3242.0
20140909.0,3224.0,3242.0,3224.0,3208.0,3238.0
20140910.0,3208.0,3238.0,3224.0,3199.0,3229.0
20140911.0,3199.0,3229.0,3213.0,3199.0,3214.0
20140912.0,3199.0,3214.0,3213.0,3199.0,3214.0
20140915.0,3199.0,3214.0,3210.0,3193.0,3218.0
20140916.0,3193.0,3218.0,3200.0,3215.0,3236.0
20140917.0,3215.0,3236.0,3216.0,3224.0,3246.0
20140918.0,3224.0,3246.0,3245.0,3245.0,3285.0
20140919.0,3245.0,3285.0,3258.0,3230.0,3255.0
20140922.0,3230.0,3255.0,3238.0,3184.0,3239.0
20140923.0,3184.0,3239.0,3188.0,3175.0,3235.0
20140924.0,3175.0,3235.0,3227.0,3175.0,3240.0
20140925.0,3175.0,3240.0,3183.0,3172.0,3221.0
20140926.0,3172.0,3221.0,3202.0,3152.0,3208.0
20140929.0,3152.0,3208.0,3172.0,3175.0,3219.0
20140930.0,3175.0,3219.0,3216.0,3157.0,3220.0
20141001.0,3157.0,3220.0,3181.0,3083.0,3177.0
20141002.0,3083.0,3177.0,3096.0,3101.0,3136.0
20141003.0,3101.0,3136.0,3124.0,3104.0,3168.0
20141006.0,3104.0,3168.0,3116.0,3035.0,3106.0
20141007.0,3035.0,3106.0,3065.0,3027.0,3080.0
20141008.0,3027.0,3080.0,3041.0,2986.0,3075.0
20141009.0,2986.0,3075.0,3030.0,2965.0,3015.0
20141010.0,2965.0,3015.0,2978.0,2930.0,3001.0
20141013.0,2930.0,3001.0,2981.0,2931.0,2994.0
20141014.0,2931.0,2994.0,2989.0,2839.0,2990.0
20141015.0,2839.0,2990.0,2876.0,2768.0,2910.0
20141016.0,2768.0,2910.0,2866.0,2852.0,2949.0
20141017.0,2852.0,2949.0,2944.0,2896.0,2955.0
20141020.0,2896.0,2955.0,2916.0,2891.0,2992.0
20141021.0,2891.0,2992.0,2977.0,2959.0,3002.0
20141022.0,2959.0,3002.0,2991.0,2961.0,3036.0
20141023.0,2961.0,3036.0,3030.0,3004.0,3027.0
20141024.0,3004.0,3027.0,3020.0,2965.0,3054.0
20141027.0,2965.0,3054.0,2986.0,3000.0,3031.0
20141028.0,3000.0,3031.0,3026.0,2994.0,3038.0
20141029.0,2994.0,3038.0,3008.0,2951.0,3036.0
20141030.0,2951.0,3036.0,3020.0,3056.0,3106.0
20141031.0,3056.0,3106.0,3097.0,3065.0,3102.0
20141103.0,3065.0,3102.0,3070.0,3018.0,3083.0
20141104.0,3018.0,3083.0,3023.0,3038.0,3080.0
20141105.0,3038.0,3080.0,3077.0,3056.0,3125.0
20141106.0,3056.0,3125.0,3089.0,3029.0,3108.0
20141107.0,3029.0,3108.0,3051.0,3042.0,3082.0
20141110.0,3042.0,3082.0,3079.0,3081.0,3105.0
20141111.0,3081.0,3105.0,3091.0,3030.0,3088.0
20141112.0,3030.0,3088.0,3035.0,3013.0,3066.0
20141113.0,3013.0,3066.0,3047.0,3019.0,3060.0
20141114.0,3019.0,3060.0,3046.0,3014.0,3083.0
20141117.0,3014.0,3083.0,3072.0,3073.0,3123.0
20141118.0,3073.0,3123.0,3107.0,3103.0,3131.0
20141119.0,3103.0,3131.0,3112.0,3066.0,3111.0
